generation biomass,generation fossil brown coal/lignite,generation fossil coal-derived gas,generation fossil gas,generation fossil hard coal,generation fossil oil,generation fossil oil shale,generation fossil peat,generation geothermal,generation hydro pumped storage aggregated,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation marine,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind offshore,generation wind onshore,forecast solar day ahead,forecast wind offshore eday ahead,forecast wind onshore day ahead,total load forecast,total load actual,price day ahead,price actual
532,784,0,4386,5418,262,0,0,0,,1053,727,1834,0,4846,85,65,582,206,0,3003,481,,3091,21211,21171,43.58,57.14
541,802,0,4453,5497,266,0,0,0,,1052,727,1758,0,4895,85,66,576,206,0,2569,486,,2691,21074,21042,43.98,53.94
545,856,0,4589,5753,263,0,0,0,,1016,720,1793,0,4903,85,64,499,204,0,2380,434,,2377,21579,21618,44.91,53.43
540,904,0,4818,6154,257,0,0,0,,323,720,1435,0,4911,85,63,415,202,0,2196,399,,2206,23250,23433,51,56.68
546,937,0,4862,6527,283,0,0,0,,17,779,2369,0,4924,85,63,412,184,0,1701,475,,1827,25560,25885,55.76,63.49
546,959,0,5143,6774,343,0,0,0,,0,842,3860,0,4930,86,63,1168,196,0,1102,1408,,1208,27900,28456,59.95,66.75
544,980,0,4842,6973,368,0,0,0,,0,852,4119,0,4942,83,64,3018,262,0,682,3077,,759,29463,29708,60.5,73.07
543,978,0,4604,7101,361,0,0,0,,0,895,4449,0,4952,87,64,4129,268,0,470,4070,,506,30133,30887,61.29,78.95
539,977,0,4475,7198,351,0,0,0,,0,899,4584,0,4950,87,63,4642,260,0,472,4629,,483,30558,31409,61.69,75.91
547,974,0,4376,7215,349,0,0,0,,0,898,4579,0,4956,84,62,4976,259,0,683,4919,,678,31035,31947,61.95,73.12
538,969,0,4512,7210,356,0,0,0,,0,901,4335,0,4959,86,61,5044,260,0,1041,5014,,1130,31154,32078,61.29,68.02
534,962,0,4178,7159,365,0,0,0,,0,857,4167,0,4953,85,68,4887,258,0,1652,4875,,1479,30381,31193,60.09,66.67
537,965,0,4035,7067,366,0,0,0,,0,813,3084,0,4956,86,69,4641,254,0,2761,4686,,2347,29581,30542,60.5,65.08
537,887,0,3821,6830,364,0,0,0,,95,825,3290,0,4955,88,66,4279,251,0,3277,4404,,3318,29085,30591,60.69,66.1
532,947,0,4059,6873,362,0,0,0,,5,823,3454,0,4799,88,69,3824,252,0,3281,3907,,3236,29155,30799,60.69,72
533,976,0,4472,7100,356,0,0,0,,0,820,3349,0,4186,88,69,3132,267,0,3781,3456,,3699,28943,30481,58.9,78.6
528,967,0,4553,7172,351,0,0,0,,0,806,3119,0,4368,87,69,2383,254,0,3943,2719,,3929,29013,30147,57,81.18
536,968,0,4490,7194,365,0,0,0,,0,836,3009,0,4657,87,71,1586,229,0,4028,1615,,4059,29307,30120,57,81.65
535,980,0,4664,7264,364,0,0,0,,0,937,3921,0,4878,87,70,891,230,0,3661,924,,3823,29896,30747,59.88,78.63
531,970,0,4684,7279,360,0,0,0,,0,884,3834,0,4961,87,72,696,231,0,3485,632,,3558,29310,29978,59.6,73.2
528,922,0,4728,7227,352,0,0,0,,0,863,2778,0,4959,86,72,669,232,0,3276,495,,3276,26817,27421,55.76,72.46
499,885,0,4659,7996,371,0,0,0,,0,728,1982,0,6000,89,55,1280,219,0,6210,597,,6140,30239,30518,59.52,67.24
502,909,0,4199,7838,370,0,0,0,,137,704,1483,0,5995,87,55,1253,213,0,5993,514,,6205,28031,28484,51.1,64.17
491,905,0,4448,8048,368,0,0,0,,482,704,1003,0,5997,87,55,1231,217,0,5529,542,,5735,26635,27026,47.03,62.12
495,875,0,4157,7837,360,0,0,0,,747,692,626,0,5998,87,56,1223,220,0,5127,551,,5232,26076,26248,48.5,62.11
503,912,0,4001,7827,360,0,0,0,,845,689,563,0,6003,87,55,1189,219,0,4940,550,,4959,25734,25838,48.79,60.05
505,918,0,4219,7910,360,0,0,0,,700,687,610,0,6005,88,57,1142,220,0,4735,457,,4784,25889,26021,50.51,62.48
506,930,0,4338,7856,364,0,0,0,,209,706,1363,0,6003,87,54,1043,220,0,4266,592,,4452,27135,26992,59.13,70.01
505,938,0,4954,7855,374,0,0,0,,0,761,2280,0,6000,87,55,979,217,0,3849,871,,3912,29269,28625,60.8,75.2
510,960,0,5447,7982,378,0,0,0,,0,780,3192,0,5997,87,55,1336,219,0,3369,1821,,3585,31596,31015,61.87,83.3
501,960,0,5881,7991,381,0,0,0,,0,788,4420,0,5996,84,54,2121,220,0,2959,3169,,3028,33540,33276,64.23,93.14
494,955,0,6076,7979,364,0,0,0,,0,753,3674,0,5989,88,51,2841,220,0,3226,4356,,3098,34919,34221,66.5,100.45
498,937,0,5726,7982,367,0,0,0,,0,754,3289,0,5974,88,51,3556,219,0,4273,4651,,3964,35376,34796,67.1,95.17
491,958,0,5583,8005,362,0,0,0,,0,762,3131,0,5971,89,52,3756,214,0,5914,4654,,5486,36279,35535,66.1,85.23
495,936,0,5637,7975,367,0,0,0,,0,751,2709,0,5969,88,50,3639,215,0,7320,4593,,7010,36886,35752,65,81.5
501,940,0,5684,7839,369,0,0,0,,0,733,1912,0,5964,87,53,4133,215,0,7837,4414,,8090,36199,35605,59.75,77.29
498,925,0,6098,7782,367,0,0,0,,0,721,1479,0,5961,86,51,4896,214,0,7890,4049,,7971,35918,36020,59.61,76.61
491,957,0,6242,7807,367,0,0,0,,0,713,1191,0,5956,86,52,4647,217,0,7996,3887,,8004,36366,36066,59.53,77.15
495,954,0,6056,7866,368,0,0,0,,0,709,1458,0,5969,84,52,4184,217,0,7955,4055,,7962,36676,36195,61.1,79.51
497,879,0,5839,8058,364,0,0,0,,0,707,1965,0,5978,84,52,3631,215,0,7582,3523,,7779,36275,35739,61.1,91.05
483,914,0,6477,8129,371,0,0,0,,0,711,2384,0,5986,85,51,2772,215,0,6821,2670,,7115,35664,35188,61.1,95.29
482,968,0,6316,8163,354,0,0,0,,0,736,2566,0,5981,86,52,2013,222,0,6198,1612,,6110,34828,34470,61.87,91.25
481,902,0,5881,8002,386,0,0,0,,0,735,2622,0,5985,86,53,1193,226,0,6139,743,,5883,34241,33716,63.71,87.08
481,915,0,5785,7853,384,0,0,0,,6,721,2412,0,5984,87,52,636,220,0,6398,462,,6276,33972,32697,64.1,78.15
479,841,0,5519,7601,381,0,0,0,,137,677,1414,0,5987,87,52,573,215,0,6262,480,,6324,32057,30477,59.13,75.07
546,571,0,4178,7280,383,0,0,0,,398,658,831,0,6741,84,67,433,260,0,5908,443,,5755,27766,26788,49,73.73
516,566,0,3912,6774,370,0,0,0,,392,628,942,0,6741,85,67,391,257,0,5509,363,,5596,26176,25146,46.86,70.99
508,455,0,3718,6349,372,0,0,0,,956,631,882,0,6742,85,67,352,256,0,5204,295,,5218,24974,23889,45.68,68.3
509,369,0,3768,6078,373,0,0,0,,1088,634,934,0,6743,86,65,328,251,0,4891,276,,4923,24173,23046,44.99,64.22
518,367,0,3707,5984,373,0,0,0,,1027,636,799,0,6744,86,67,327,251,0,4738,244,,4706,23779,22587,44.81,63.53
528,351,0,3706,5817,361,0,0,0,,1348,631,781,0,6748,86,66,320,249,0,4868,212,,4779,23503,22361,44.68,66.7
533,367,0,3946,5785,354,0,0,0,,1804,631,943,0,6750,86,67,265,246,0,4809,235,,4867,23493,22551,44.81,69.79
525,360,0,3890,5570,347,0,0,0,,1638,629,888,0,6748,86,66,223,246,0,4849,420,,4812,23562,22543,44.81,75.57
529,457,0,4066,6289,332,0,0,0,,508,641,1147,0,6747,86,69,708,216,0,4285,1166,,4532,24929,24042,46.85,82.36
534,576,0,4535,6720,305,0,0,0,,198,652,965,0,6749,85,66,2225,214,0,3889,2373,,3916,27227,25932,49,87.03
533,622,0,4441,7301,315,0,0,0,,104,664,1153,0,6749,84,67,3943,226,0,3330,3681,,3551,29193,27664,54.36,91.08
531,629,0,4513,7468,315,0,0,0,,0,689,1333,0,6744,85,66,4514,232,0,2911,4451,,2983,29950,28448,61.98,89.29
522,631,0,4654,7503,311,0,0,0,,6,717,1795,0,6741,84,68,4926,254,0,2376,4940,,2486,30333,28881,62.47,85.45
509,635,0,4760,7551,311,0,0,0,,27,715,2275,0,6739,83,69,5067,237,0,1917,5172,,1978,30711,29329,62.93,80.33
504,637,0,4591,7542,269,0,0,0,,32,717,2198,0,6732,84,69,5092,234,0,1741,5163,,1759,30055,29026,61.98,77.33
506,636,0,4964,7517,263,0,0,0,,10,694,1776,0,6730,84,66,5019,232,0,1680,4994,,1729,29123,28237,57.48,77.03
500,636,0,5046,7462,259,0,0,0,,0,667,1445,0,6729,83,67,4803,225,0,1774,4740,,1795,28632,27868,54.38,78.15
502,628,0,4899,7437,258,0,0,0,,0,654,1478,0,6728,83,67,4507,223,0,2001,4391,,1993,28356,27654,54.36,80.48
514,582,0,4677,7345,258,0,0,0,,0,640,1236,0,6717,83,69,4010,228,0,2574,3790,,2586,28124,27507,52.04,90.87
513,625,0,4606,7419,270,0,0,0,,0,645,1435,0,6727,82,69,3321,227,0,3022,2928,,3102,27922,27544,54.38,94.11
511,571,0,4805,7224,295,0,0,0,,84,683,2430,0,6736,82,68,2089,224,0,3312,1860,,3344,27925,27578,60.33,90.26
516,599,0,4932,7191,301,0,0,0,,81,722,3302,0,6748,82,67,957,223,0,3478,997,,3476,28578,28222,66,84.66
519,625,0,5136,7012,301,0,0,0,,4,706,3461,0,6762,83,70,721,219,0,3726,689,,3724,28862,28221,63.6,77.05
515,620,0,5209,6549,302,0,0,0,,0,669,2426,0,6760,83,67,691,231,0,3968,581,,3880,27334,26436,55.5,73.14
489,920,0,5410,7695,314,0,0,0,,0,574,1930,0,6846,86,66,39,273,0,3552,72,,3653,27430,27485,60.47,67.7
483,928,0,4445,7691,301,0,0,0,,62,553,1819,0,6852,86,68,38,231,0,3334,72,,3482,25783,25750,52.88,61.05
485,833,0,4287,7435,297,0,0,0,,167,544,1347,0,6854,85,67,37,227,0,3486,73,,3466,24718,24760,48.62,59.61
477,935,0,4223,7544,296,0,0,0,,557,548,943,0,6855,86,67,37,224,0,3492,42,,3526,24185,24188,47.69,58.65
480,937,0,4178,7375,298,0,0,0,,734,548,655,0,6858,86,66,36,227,0,3541,29,,3602,23980,23840,45.85,58.4
482,935,0,4283,7442,288,0,0,0,,753,558,682,0,6862,86,66,41,226,0,3603,41,,3582,24139,24030,45.78,59.77
477,894,0,4444,7465,299,0,0,0,,468,559,1561,0,6861,86,66,45,234,0,3952,34,,3911,25737,25965,49.3,68.38
477,920,0,5068,7674,299,0,0,0,,297,555,1801,0,6864,85,67,58,239,0,4209,65,,4167,27995,28266,55.93,75.5
495,910,0,5684,7654,333,0,0,0,,43,589,1932,0,6866,85,67,317,244,0,4171,386,,4273,29747,29981,60.47,81.67
493,956,0,6295,7801,348,0,0,0,,0,645,2736,0,6866,84,67,1107,245,0,3873,1217,,3856,31824,31932,57.5,85.8
490,955,0,6674,7866,352,0,0,0,,0,672,3238,0,6863,84,68,2133,248,0,3865,2336,,3894,33063,33325,59.57,92
